epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.766,1.37101,2.58512,1.07808,0.15337,0.85882,0.14902,0.09153,1.32871,6.30568,1.05926,0.00066055,0.00066055,0.00066055
2,579.442,1.33359,1.02016,1.08938,0.79109,0.84645,0.89029,0.54778,1.22987,2.30135,1.08607,0.00119582,0.00119582,0.00119582
3,909.52,1.3173,0.87312,1.07986,0.96199,0.92941,0.97013,0.59223,1.2572,1.04834,1.07882,0.00159909,0.00159909,0.00159909
4,1236.99,1.29462,0.83615,1.08478,0.94588,0.82245,0.91656,0.55741,1.34494,0.91568,1.11565,0.001406,0.001406,0.001406
5,1540.26,1.25415,0.78872,1.07209,0.94513,0.96863,0.98204,0.64383,1.16799,0.70111,1.03487,0.001208,0.001208,0.001208
6,1846.93,1.17924,0.72054,1.03506,0.73841,0.9451,0.73373,0.47372,1.17867,0.86713,1.01354,0.00101,0.00101,0.00101
7,2180.4,1.17938,0.70052,1.02999,0.99179,0.94787,0.99061,0.65259,1.12235,0.62195,1.03963,0.000812,0.000812,0.000812
8,2511.17,1.1331,0.63734,1.02605,0.99129,0.96078,0.99221,0.64054,1.21001,0.60785,1.04033,0.000614,0.000614,0.000614
9,2833.23,1.11851,0.60109,1.01754,0.97248,0.97022,0.99309,0.68906,1.08315,0.56138,1.00163,0.000416,0.000416,0.000416
10,3155.42,1.04545,0.54619,0.97976,0.97273,0.97924,0.99345,0.69949,1.05505,0.52817,0.99402,0.000218,0.000218,0.000218
